"game_id","season","week","home_team","away_team","home_score","away_score"
"2025_15_DET_LAR",2025,15,"LAR","DET",41,34
"2025_15_CAR_NO",2025,15,"NO","CAR",20,17
"2025_15_IND_SEA",2025,15,"SEA","IND",18,16
"2025_15_TEN_SF",2025,15,"SF","TEN",37,24
"2025_15_MIN_DAL",2025,15,"DAL","MIN",26,34
"2025_15_MIA_PIT",2025,15,"PIT","MIA",28,15
"2025_16_LAR_SEA",2025,16,"SEA","LAR",38,37
"2025_16_PHI_WAS",2025,16,"WAS","PHI",18,29
"2025_16_GB_CHI",2025,16,"CHI","GB",22,16
"2025_16_TB_CAR",2025,16,"CAR","TB",23,20
"2025_16_BUF_CLE",2025,16,"CLE","BUF",20,23
"2025_16_LAC_DAL",2025,16,"DAL","LAC",17,34
"2025_16_CIN_MIA",2025,16,"MIA","CIN",21,45
"2025_16_NYJ_NO",2025,16,"NO","NYJ",29,6
"2025_16_MIN_NYG",2025,16,"NYG","MIN",13,16
"2025_16_KC_TEN",2025,16,"TEN","KC",26,9
"2025_16_ATL_ARI",2025,16,"ARI","ATL",19,26
"2025_16_JAX_DEN",2025,16,"DEN","JAX",20,34
"2025_16_PIT_DET",2025,16,"DET","PIT",24,29
"2025_16_LV_HOU",2025,16,"HOU","LV",23,21
"2025_16_NE_BAL",2025,16,"BAL","NE",24,28
"2025_16_SF_IND",2025,16,"IND","SF",27,48
"2025_17_DAL_WAS",2025,17,"WAS","DAL",23,30
"2025_17_DET_MIN",2025,17,"MIN","DET",23,10
"2025_17_DEN_KC",2025,17,"KC","DEN",13,20
"2025_17_HOU_LAC",2025,17,"LAC","HOU",16,20
"2025_17_BAL_GB",2025,17,"GB","BAL",24,41
"2025_17_SEA_CAR",2025,17,"CAR","SEA",10,27
"2025_17_ARI_CIN",2025,17,"CIN","ARI",37,14
"2025_17_PIT_CLE",2025,17,"CLE","PIT",13,6
"2025_17_JAX_IND",2025,17,"IND","JAX",17,23
"2025_17_TB_MIA",2025,17,"MIA","TB",20,17
"2025_17_NE_NYJ",2025,17,"NYJ","NE",10,42
"2025_17_NO_TEN",2025,17,"TEN","NO",26,34
"2025_17_NYG_LV",2025,17,"LV","NYG",10,34
"2025_17_PHI_BUF",2025,17,"BUF","PHI",12,13
"2025_17_CHI_SF",2025,17,"SF","CHI",42,38
"2025_17_LAR_ATL",2025,17,"ATL","LAR",27,24
"2025_18_CAR_TB",2025,18,"TB","CAR",16,14
"2025_18_SEA_SF",2025,18,"SF","SEA",3,13
"2025_18_NO_ATL",2025,18,"ATL","NO",19,17
"2025_18_CLE_CIN",2025,18,"CIN","CLE",18,20
"2025_18_IND_HOU",2025,18,"HOU","IND",38,30
"2025_18_TEN_JAX",2025,18,"JAX","TEN",41,7
"2025_18_GB_MIN",2025,18,"MIN","GB",16,3
"2025_18_DAL_NYG",2025,18,"NYG","DAL",34,17
"2025_18_NYJ_BUF",2025,18,"BUF","NYJ",35,8
"2025_18_DET_CHI",2025,18,"CHI","DET",16,19
"2025_18_LAC_DEN",2025,18,"DEN","LAC",19,3
"2025_18_ARI_LAR",2025,18,"LAR","ARI",37,20
"2025_18_KC_LV",2025,18,"LV","KC",14,12
"2025_18_MIA_NE",2025,18,"NE","MIA",38,10
"2025_18_WAS_PHI",2025,18,"PHI","WAS",17,24
"2025_18_BAL_PIT",2025,18,"PIT","BAL",26,24
"2025_19_LAR_CAR",2025,19,"CAR","LAR",31,34
"2025_19_GB_CHI",2025,19,"CHI","GB",31,27
"2025_19_BUF_JAX",2025,19,"JAX","BUF",24,27
"2025_19_SF_PHI",2025,19,"PHI","SF",19,23
"2025_19_LAC_NE",2025,19,"NE","LAC",16,3
"2025_19_HOU_PIT",2025,19,"PIT","HOU",6,30
"2025_20_BUF_DEN",2025,20,"DEN","BUF",33,30
"2025_20_SF_SEA",2025,20,"SEA","SF",41,6
"2025_20_HOU_NE",2025,20,"NE","HOU",28,16
"2025_20_LAR_CHI",2025,20,"CHI","LAR",17,20
"2025_21_NE_DEN",2025,21,"DEN","NE",7,10
"2025_21_LAR_SEA",2025,21,"SEA","LAR",31,27
"2025_22_SEA_NE",2025,22,"NE","SEA",13,29
