season,week,home_team,away_team,p_home,actual,home_elo_post,away_elo_post,model
2025,1,PHI,DAL,0.5287505638922686,1,1515.1689341736994,1484.8310658263006,MOV_HFA_k20_hfa20
2025,1,LAC,KC,0.5287505638922686,1,1518.3401812091727,1481.6598187908273,MOV_HFA_k20_hfa20
2025,1,ATL,TB,0.5287505638922686,0,1485.3399214967437,1514.6600785032563,MOV_HFA_k20_hfa20
2025,1,CLE,CIN,0.5287505638922686,0,1492.6699607483718,1507.3300392516282,MOV_HFA_k20_hfa20
2025,1,IND,MIA,0.5287505638922686,1,1528.2749661664639,1471.7250338335361,MOV_HFA_k20_hfa20
2025,1,JAX,CAR,0.5287505638922686,1,1526.703003815188,1473.296996184812,MOV_HFA_k20_hfa20
2025,1,NE,LV,0.5287505638922686,0,1478.0098822451155,1521.9901177548845,MOV_HFA_k20_hfa20
2025,1,NO,ARI,0.5287505638922686,0,1478.0098822451155,1521.9901177548845,MOV_HFA_k20_hfa20
2025,1,NYJ,PIT,0.5287505638922686,0,1488.3821626573551,1511.6178373426449,MOV_HFA_k20_hfa20
2025,1,WAS,NYG,0.5287505638922686,1,1526.131617438283,1473.868382561717,MOV_HFA_k20_hfa20
2025,1,DEN,TEN,0.5287505638922686,1,1520.7088168614348,1479.2911831385652,MOV_HFA_k20_hfa20
2025,1,SEA,SF,0.5287505638922686,0,1482.9801759250174,1517.0198240749826,MOV_HFA_k20_hfa20
2025,1,GB,DET,0.5287505638922686,1,1525.523342604417,1474.476657395583,MOV_HFA_k20_hfa20
2025,1,LAR,HOU,0.5287505638922686,1,1516.8873127902882,1483.1126872097118,MOV_HFA_k20_hfa20
2025,1,BUF,BAL,0.5287505638922686,1,1506.5329043595707,1493.4670956404293,MOV_HFA_k20_hfa20
2025,1,CHI,MIN,0.5287505638922686,0,1485.3399214967437,1514.6600785032563,MOV_HFA_k20_hfa20
2025,2,GB,WAS,0.52787799342024,1,1547.265364492917,1504.389595549783,MOV_HFA_k20_hfa20
2025,2,BAL,CLE,0.5298937874115388,1,1521.673468395737,1464.463587993064,MOV_HFA_k20_hfa20
2025,2,CIN,JAX,0.500902375550735,1,1523.3953720275172,1510.637671039299,MOV_HFA_k20_hfa20
