season,week,home_team,away_team,p_home,actual,home_elo_post,away_elo_post,model
2025,1,PHI,DAL,0.5924662305843318,1,1513.118005981895,1486.881994018105,MOV_HFA_k20_hfa65
2025,1,LAC,KC,0.5924662305843318,1,1515.8604819597742,1484.1395180402258,MOV_HFA_k20_hfa65
2025,1,ATL,TB,0.5924662305843318,0,1483.5733481077398,1516.4266518922602,MOV_HFA_k20_hfa65
2025,1,CLE,CIN,0.5924662305843318,0,1491.7866740538698,1508.2133259461302,MOV_HFA_k20_hfa65
2025,1,IND,MIA,0.5924662305843318,1,1524.45202616494,1475.54797383506,MOV_HFA_k20_hfa65
2025,1,JAX,CAR,0.5924662305843318,1,1523.09260227324,1476.90739772676,MOV_HFA_k20_hfa65
2025,1,NE,LV,0.5924662305843318,0,1475.3600221616095,1524.6399778383905,MOV_HFA_k20_hfa65
2025,1,NO,ARI,0.5924662305843318,0,1475.3600221616095,1524.6399778383905,MOV_HFA_k20_hfa65
2025,1,NYJ,PIT,0.5924662305843318,0,1486.9821863691836,1513.0178136308164,MOV_HFA_k20_hfa65
2025,1,WAS,NYG,0.5924662305843318,1,1522.5984706602749,1477.4015293397251,MOV_HFA_k20_hfa65
2025,1,DEN,TEN,0.5924662305843318,1,1517.9088642850916,1482.0911357149084,MOV_HFA_k20_hfa65
2025,1,SEA,SF,0.5924662305843318,0,1480.929247733213,1519.070752266787,MOV_HFA_k20_hfa65
2025,1,GB,DET,0.5924662305843318,1,1522.0724381244409,1477.9275618755591,MOV_HFA_k20_hfa65
2025,1,LAR,HOU,0.5924662305843318,1,1514.6040498076145,1485.3959501923855,MOV_HFA_k20_hfa65
2025,1,BUF,BAL,0.5924662305843318,1,1505.6496176650687,1494.3503823349313,MOV_HFA_k20_hfa65
2025,1,CHI,MIN,0.5924662305843318,0,1483.5733481077398,1516.4266518922602,MOV_HFA_k20_hfa65
2025,2,GB,WAS,0.5917348948527854,1,1540.8737410264732,1503.7971677582425,MOV_HFA_k20_hfa65
2025,2,BAL,CLE,0.5960246029917285,1,1518.5889061554276,1467.5481502333735,MOV_HFA_k20_hfa65
2025,2,CIN,JAX,0.5716332952315657,1,1522.0019182477058,1509.3040099716643,MOV_HFA_k20_hfa65
