season,week,home_team,away_team,p_home,actual,home_elo_post,away_elo_post,model
2025,1,PHI,DAL,0.5714631174083814,1,1506.8970350571926,1493.1029649428074,MOV_HFA_k10_hfa50
2025,1,LAC,KC,0.5714631174083814,1,1508.3389426907956,1491.6610573092044,MOV_HFA_k10_hfa50
2025,1,ATL,TB,0.5714631174083814,0,1492.0778390274877,1507.9221609725123,MOV_HFA_k10_hfa50
2025,1,CLE,CIN,0.5714631174083814,0,1496.0389195137438,1503.9610804862562,MOV_HFA_k10_hfa50
2025,1,IND,MIA,0.5714631174083814,1,1512.8561064777487,1487.1438935222513,MOV_HFA_k10_hfa50
2025,1,JAX,CAR,0.5714631174083814,1,1512.1413641417882,1487.8586358582118,MOV_HFA_k10_hfa50
2025,1,NE,LV,0.5714631174083814,0,1488.1167585412315,1511.8832414587685,MOV_HFA_k10_hfa50
2025,1,NO,ARI,0.5714631174083814,0,1488.1167585412315,1511.8832414587685,MOV_HFA_k10_hfa50
2025,1,NYJ,PIT,0.5714631174083814,0,1493.7218359669457,1506.2781640330543,MOV_HFA_k10_hfa50
2025,1,WAS,NYG,0.5714631174083814,1,1511.881565277373,1488.118434722627,MOV_HFA_k10_hfa50
2025,1,DEN,TEN,0.5714631174083814,1,1509.4159177072536,1490.5840822927464,MOV_HFA_k10_hfa50
2025,1,SEA,SF,0.5714631174083814,0,1490.8026559328516,1509.1973440671484,MOV_HFA_k10_hfa50
2025,1,GB,DET,0.5714631174083814,1,1511.6049939108195,1488.3950060891805,MOV_HFA_k10_hfa50
2025,1,LAR,HOU,0.5714631174083814,1,1507.67835017297,1492.32164982703,MOV_HFA_k10_hfa50
2025,1,BUF,BAL,0.5714631174083814,1,1502.9703913193432,1497.0296086806568,MOV_HFA_k10_hfa50
2025,1,CHI,MIN,0.5714631174083814,0,1492.0778390274877,1507.9221609725123,MOV_HFA_k10_hfa50
2025,2,GB,WAS,0.5710731856145757,1,1521.4813987987125,1502.0051603894801,MOV_HFA_k10_hfa50
2025,2,BAL,CLE,0.5728591365994622,1,1509.843834582673,1483.2246936117276,MOV_HFA_k10_hfa50
2025,2,CIN,JAX,0.5598944350443514,1,1511.0443063033847,1505.0581383246597,MOV_HFA_k10_hfa50
2025,2,DAL,NYG,0.5784750381006372,1,1498.946541720331,1482.2748579451033,MOV_HFA_k10_hfa50
2025,2,DET,CHI,0.5662636806085976,1,1501.4070956709224,1479.0657494457457,MOV_HFA_k10_hfa50
2025,2,MIA,NE,0.570091106998769,0,1476.0504328123004,1499.2102192511825,MOV_HFA_k10_hfa50
2025,2,NO,SF,0.5415225328392158,0,1478.4139772810813,1518.9001253272986,MOV_HFA_k10_hfa50
2025,2,NYJ,BUF,0.5583785751955532,0,1476.970478711079,1519.7217485752099,MOV_HFA_k10_hfa50
2025,2,PIT,SEA,0.5931269706489215,0,1490.2159879116048,1506.8648320543011,MOV_HFA_k10_hfa50
2025,2,TEN,LAR,0.5472140687661485,0,1475.7652506030652,1522.4971818626514,MOV_HFA_k10_hfa50
2025,2,ARI,CAR,0.6049467528056774,1,1518.9616454238655,1480.7802318931147,MOV_HFA_k10_hfa50
2025,2,IND,DEN,0.576305800265579,1,1515.7929308774037,1506.4790933075985,MOV_HFA_k10_hfa50
2025,2,KC,PHI,0.549863154228458,0,1484.0383354082592,1514.5197569581378,MOV_HFA_k10_hfa50
2025,2,MIN,ATL,0.593639222418331,0,1491.1030953074046,1508.8969046925954,MOV_HFA_k10_hfa50
2025,2,HOU,TB,0.549343711718931,0,1488.5138893776668,1511.7299214218754,MOV_HFA_k10_hfa50
2025,2,LV,LAC,0.5764521303993237,0,1497.558944137631,1522.663240011933,MOV_HFA_k10_hfa50
2025,3,BUF,MIA,0.6316298898203155,1,1528.5548780336107,1467.2173033538995,MOV_HFA_k10_hfa50
2025,3,CAR,ATL,0.5314510600598691,1,1494.8367000913186,1494.8404364943915,MOV_HFA_k10_hfa50
2025,3,CLE,GB,0.5168935269771784,1,1489.9219714054482,1514.784121004992,MOV_HFA_k10_hfa50
2025,3,JAX,HOU,0.5946108020638902,1,1513.487969712026,1480.0840579903006,MOV_HFA_k10_hfa50
2025,3,MIN,CIN,0.5431504673060321,1,1504.8085812882236,1497.3388203225657,MOV_HFA_k10_hfa50
2025,3,NE,PIT,0.5840928918941796,0,1487.0643490151358,1502.3618581476514,MOV_HFA_k10_hfa50
2025,3,PHI,LAR,0.5601821629815,1,1523.6655117688183,1513.3514270519709,MOV_HFA_k10_hfa50
2025,3,TB,NYJ,0.6196150361766706,1,1515.908877378684,1472.7915227542703,MOV_HFA_k10_hfa50
2025,3,TEN,IND,0.5143473819399778,0,1460.3348291448658,1531.223352335603,MOV_HFA_k10_hfa50
2025,3,WAS,LV,0.577719242180086,1,1514.2106441525368,1485.3534603745743,MOV_HFA_k10_hfa50
2025,3,LAC,DEN,0.5941110305286522,1,1528.290055908122,1500.8522774114097,MOV_HFA_k10_hfa50
2025,3,SEA,NO,0.6110194434583741,1,1518.53424875055,1466.7445605848325,MOV_HFA_k10_hfa50
2025,3,CHI,DAL,0.5432367679523379,1,1492.2679049053052,1485.7443862607715,MOV_HFA_k10_hfa50
2025,3,SF,ARI,0.5713763892539961,1,1521.8711178003987,1515.9906529507655,MOV_HFA_k10_hfa50
2025,3,NYG,KC,0.5689753288602746,0,1467.2592728251138,1499.0539205282487,MOV_HFA_k10_hfa50
2025,3,BAL,DET,0.5833130801345732,0,1497.0271362231392,1514.2237940304562,MOV_HFA_k10_hfa50
